city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tehran,35.7000,51.4167,Iran,IR,Tehrān,primary,13633000,9033003
Mashhad,36.3069,59.6042,Iran,IR,Khorāsān-e Raẕavī,admin,3001184,3001184
Eşfahān,32.6447,51.6675,Iran,IR,Eşfahān,admin,1756126,1756126
Karaj,35.8327,50.9915,Iran,IR,Alborz,admin,1592492,1592492
Tabrīz,38.0833,46.2833,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1558693,1558693
Shīrāz,29.6100,52.5425,Iran,IR,Fārs,admin,1460665,1460665
Qom,34.6461,50.8789,Iran,IR,Qom,admin,1201158,1201158
Ahvāz,31.3203,48.6692,Iran,IR,Khūzestān,admin,1184788,1184788
Kermānshāh,34.3167,47.0686,Iran,IR,Kermānshāh,admin,851405,851405
Orūmīyeh,37.5486,45.0675,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,736224,736224
Rasht,37.2833,49.6000,Iran,IR,Gīlān,admin,639951,639951
Kermān,30.2833,57.0667,Iran,IR,Kermān,admin,573449,573449
Zāhedān,29.4833,60.8667,Iran,IR,Sīstān va Balūchestān,admin,560725,560725
Eslāmshahr,35.5333,51.2000,Iran,IR,Tehrān,minor,548620,548620
Hamadān,34.8065,48.5162,Iran,IR,Hamadān,admin,528256,330
Yazd,31.8972,54.3678,Iran,IR,Yazd,admin,486152,486152
Arāk,34.0800,49.7000,Iran,IR,Markazī,admin,484212,484212
Ardabīl,38.2500,48.3000,Iran,IR,Ardabīl,admin,482632,482632
Bandar ‘Abbās,27.2000,56.2500,Iran,IR,Hormozgān,admin,435751,435751
Zanjān,36.6667,48.4833,Iran,IR,Zanjān,admin,433475,433475
Kāshān,33.9833,51.4333,Iran,IR,Eşfahān,minor,432557,432557
Qazvīn,36.2688,50.0041,Iran,IR,Qazvīn,admin,381598,381598
Sanandaj,35.3097,46.9989,Iran,IR,Kordestān,admin,373987,373987
Madan,30.3307,48.2797,Iran,IR,Khūzestān,,370180,260078
Khorramābād,33.4667,48.3500,Iran,IR,Lorestān,admin,348216,348216
Gorgān,36.8300,54.4800,Iran,IR,Golestān,admin,312223,312223
Shahrīār,35.6597,51.0592,Iran,IR,Tehrān,minor,309607,309607
Shahr-e Qods,35.7214,51.1089,Iran,IR,Tehrān,minor,309605,309605
Malārd,35.6658,50.9767,Iran,IR,Tehrān,minor,281027,281027
Sartā,36.5504,53.1000,Iran,IR,Māzandarān,,271467,255396
Dezfūl,32.3878,48.4033,Iran,IR,Khūzestān,minor,264709,264709
Bābol,36.5500,52.6833,Iran,IR,Māzandarān,minor,250217,250217
Būkān,36.5208,46.2117,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,248900,248900
Sabzevār,36.2167,57.6667,Iran,IR,Khorāsān-e Raẕavī,minor,243700,243700
Āmol,36.4669,52.3569,Iran,IR,Māzandarān,minor,237528,237528
Pākdasht,35.4817,51.6803,Iran,IR,Tehrān,minor,236319,236319
Najafābād,32.6342,51.3667,Iran,IR,Eşfahān,minor,235281,235281
Borūjerd,33.8972,48.7514,Iran,IR,Lorestān,minor,234997,234997
Qarchak,35.4394,51.5689,Iran,IR,Tehrān,,231075,231075
Varāmīn,35.2714,51.6511,Iran,IR,Tehrān,minor,225628,225628
Neyshābūr,36.2200,58.8200,Iran,IR,Khorāsān-e Raẕavī,minor,221700,220929
Sāveh,35.0211,50.3564,Iran,IR,Markazī,minor,220762,220762
Khomeynī Shahr,32.7000,51.5211,Iran,IR,Eşfahān,minor,218737,218737
Qā’em Shahr,36.4611,52.8606,Iran,IR,Māzandarān,,204953,204953
Nasīm Shahr,35.5644,51.1647,Iran,IR,Tehrān,minor,200393,200393
Bojnūrd,37.4667,57.3333,Iran,IR,Khorāsān-e Shomālī,admin,199791,199791
Bandar-e Būshehr,28.9667,50.8333,Iran,IR,Būshehr,admin,195222,195222
Semnān,35.5833,53.3833,Iran,IR,Semnān,admin,185129,185129
Khowy,38.5503,44.9519,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,182000,182000
Fardīs,35.7247,50.9883,Iran,IR,Tehrān,,181174,181174
Bīrjand,32.8664,59.2211,Iran,IR,Khorāsān-e Jonūbī,admin,178020,178020
Marāgheh,37.3919,46.2392,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,175255,175255
Sīrjān,29.4700,55.7300,Iran,IR,Kermān,minor,175000,167014
Shāhīn Shahr,32.8639,51.5475,Iran,IR,Eşfahān,minor,173329,173329
Malāyer,34.2942,48.8200,Iran,IR,Hamadān,minor,170237,170237
Mahābād,36.7650,45.7210,Iran,IR,Āz̄arbāyjān-e Gharbī,,168393,168393
Saqqez,36.2497,46.2733,Iran,IR,Kordestān,minor,165258,165258
Bandar-e Māhshahr,30.5589,49.1981,Iran,IR,Khūzestān,minor,162797,162797
Rafsanjān,30.4000,56.0000,Iran,IR,Kermān,minor,161909,161909
